timestamp,response_ms,status,approved_deals,http_code
2026-02-26T18:10:17+05:30,655,healthy,161,200
2026-02-26T18:28:38+05:30,521,healthy,161,200
2026-02-26T18:33:39+05:30,1046,healthy,161,200
2026-02-26T18:38:40+05:30,520,healthy,161,200
2026-02-26T18:43:40+05:30,573,healthy,161,200
2026-02-26T18:48:41+05:30,954,healthy,161,200
2026-02-26T18:53:42+05:30,750,healthy,161,200
2026-02-26T19:41:25+05:30,629,healthy,164,200
2026-02-26T19:46:26+05:30,663,healthy,164,200
2026-02-26T19:51:42+05:30,546,healthy,164,200
2026-02-27T12:40:09+05:30,731,healthy,173,200
2026-02-27T12:45:10+05:30,518,healthy,173,200
2026-02-27T12:50:10+05:30,624,healthy,173,200
2026-02-27T12:55:11+05:30,597,healthy,173,200
2026-02-27T13:00:12+05:30,649,healthy,173,200
2026-02-27T13:05:12+05:30,523,healthy,173,200
2026-02-27T13:10:13+05:30,772,healthy,173,200
2026-02-27T13:15:13+05:30,532,healthy,174,200
